Tanggal;TID;Menu;Qty;Harga;Subtotal
2020-01-25;120R0421;Lavarisol Smoked Beef;5;60000;300000
;120R0421;Lavarisol Campur;2;60000;120000
;120R0421;Sagu Keju;5;75000;375000
;120R0421;Nastar Spesial;1;90000;90000
2020-01-25;120R0422;Brownies Cookies;2;40000;80000
;120R0422;Dimsum Siomay Original;7;25000;175000
;120R0422;Nastar Spesial;6;90000;540000
2020-01-25;120R0423;Pudding Batik;1;120000;120000
;120R0423;Lidah Kucing;4;70000;280000
;120R0423;Cookies Hias;6;60000;360000
;120R0423;Blueberry Cheese;3;65000;195000
2020-01-25;120R0424;Dimsum Siomay Crab;1;27000;27000
;120R0424;Lavarisol Original;2;60000;120000
;120R0424;Dimsum Siomay Ayam;2;27000;54000
2020-01-25;120R0425;Pudding Batik;2;120000;240000
;120R0425;Kaastengels;3;85000;255000
;120R0425;Pudding Buah;6;100000;600000
;120R0425;Putri Salju;3;85000;255000
2020-01-25;120R0426;Dimsum Siomay Crab;1;27000;27000
;120R0426;Sagu Keju;6;75000;450000
;120R0426;Lavarisol Original;1;60000;60000
;120R0426;Kaastengels;3;85000;255000
;120R0426;Lavarisol Smoked Beef;4;60000;240000
2020-01-25;120R0427;Dimsum Siomay Udang Keju;6;32000;192000
;120R0427;Dimsum Siomay Ayam;2;27000;54000
;120R0427;Cookies Hias;6;60000;360000
2020-01-25;120R0428;Pudding Buah;5;100000;500000
;120R0428;Cookies Hias;1;60000;60000
;120R0428;Nastar Spesial;3;90000;270000
;120R0428;Sagu Keju;1;75000;75000
;120R0428;Putri Salju;7;85000;595000
2020-01-25;120R0429;Lavarisol Smoked Beef;6;60000;360000
;120R0429;Putri Salju;5;85000;425000
;120R0429;Cookies Hias;2;60000;120000
2020-01-25;120R0430;Pudding Buah;7;100000;700000
;120R0430;Lidah Kucing;2;70000;140000
;120R0430;Dimsum Siomay Keju;3;30000;90000
;120R0430;Brownies Cookies;7;40000;280000
2020-01-26;120R0431;Lavarisol Triple Cheese;7;60000;420000
;120R0431;Sagu Keju;5;75000;375000
;120R0431;Kaastengels;7;85000;595000
2020-01-26;120R0432;Putri Salju;6;85000;510000
;120R0432;Nastar Spesial;7;90000;630000
;120R0432;Blueberry Cheese;1;65000;65000
;120R0432;Lavarisol Original;6;60000;360000
;120R0432;Dimsum Siomay Udang Keju;5;32000;160000
2020-01-26;120R0433;Dimsum Siomay Udang Keju;5;32000;160000
;120R0433;Kaastengels;1;85000;85000
;120R0433;Lavarisol Smoked Beef;1;60000;60000
;120R0433;Lavarisol Triple Cheese;6;60000;360000
2020-01-26;120R0434;Dimsum Siomay Crab;6;27000;162000
;120R0434;Putri Salju;2;85000;170000
;120R0434;Kaastengels;7;85000;595000
;120R0434;Pudding Batik;5;120000;600000
;120R0434;Dimsum Siomay Udang Keju;7;32000;224000
2020-01-26;120R0435;Nastar Spesial;7;90000;630000
;120R0435;Dimsum Siomay Crab;6;27000;162000
;120R0435;Brownies Cookies;7;40000;280000
;120R0435;Red Velvet;2;90000;180000
2020-01-26;120R0436;Dimsum Siomay Original;6;25000;150000
;120R0436;Brownies Cookies;2;40000;80000
;120R0436;Putri Salju;6;85000;510000
2020-01-26;120R0437;Pudding Batik;6;120000;720000
;120R0437;Sagu Keju;5;75000;375000
;120R0437;Dimsum Siomay Udang Keju;4;32000;128000
2020-01-26;120R0438;Sagu Keju;7;75000;525000
;120R0438;Dimsum Siomay Ayam;6;27000;162000
;120R0438;Pudding Buah;1;100000;100000
;120R0438;Lavarisol Original;6;60000;360000
2020-01-26;120R0439;Pudding Buah;3;100000;300000
;120R0439;Lavarisol Triple Cheese;7;60000;420000
2020-01-26;120R0440;Lavarisol Triple Cheese;3;60000;180000
;120R0440;Dimsum Siomay Ayam;6;27000;162000
;120R0440;Lavarisol Campur;4;60000;240000
;120R0440;Nastar Spesial;4;90000;360000
2020-01-26;120R0441;Lavarisol Original;3;60000;180000
;120R0441;Lidah Kucing;1;70000;70000
;120R0441;Dimsum Siomay Crab;3;27000;81000
2020-01-26;120R0442;Pudding Buah;2;100000;200000
;120R0442;Pudding Batik;7;120000;840000
;120R0442;Putri Salju;2;85000;170000
2020-01-26;120R0443;Dimsum Siomay Ayam;7;27000;189000
;120R0443;Cookies Hias;5;60000;300000
;120R0443;Sagu Keju;6;75000;450000
;120R0443;Dimsum Siomay Original;6;25000;150000
2020-01-26;120R0444;Pudding Batik;2;120000;240000
;120R0444;Dimsum Siomay Crab;3;27000;81000
;120R0444;Lavarisol Campur;3;60000;180000
;120R0444;Dimsum Siomay Udang Keju;7;32000;224000
2020-01-26;120R0445;Putri Salju;4;85000;340000
;120R0445;Brownies Cookies;3;40000;120000
;120R0445;Lavarisol Triple Cheese;7;60000;420000
2020-01-26;120R0446;Lavarisol Triple Cheese;2;60000;120000
;120R0446;Lavarisol Original;5;60000;300000
;120R0446;Brownies Cookies;1;40000;40000
;120R0446;Dimsum Siomay Original;4;25000;100000
2020-01-26;120R0447;Sagu Keju;7;75000;525000
;120R0447;Dimsum Siomay Udang Keju;2;32000;64000
;120R0447;Dimsum Siomay Ayam;2;27000;54000
;120R0447;Lavarisol Smoked Beef;6;60000;360000
;120R0447;Nastar Spesial;5;90000;450000
2020-01-26;120R0448;Nastar Spesial;7;90000;630000
;120R0448;Cookies Hias;5;60000;300000
;120R0448;Blueberry Cheese;1;65000;65000
2020-01-26;120R0449;Dimsum Siomay Keju;3;30000;90000
;120R0449;Kaastengels;7;85000;595000
;120R0449;Pudding Buah;5;100000;500000
2020-01-27;120R0450;Pudding Buah;3;100000;300000
;120R0450;Lavarisol Campur;1;60000;60000
;120R0450;Sagu Keju;4;75000;300000
;120R0450;Lavarisol Original;2;60000;120000
2020-01-27;120R0451;Lavarisol Smoked Beef;6;60000;360000
;120R0451;Dimsum Siomay Udang Keju;2;32000;64000
;120R0451;Putri Salju;7;85000;595000
;120R0451;Red Velvet;2;90000;180000
2020-01-27;120R0452;Lavarisol Triple Cheese;7;60000;420000
;120R0452;Lavarisol Smoked Beef;4;60000;240000
;120R0452;Lavarisol Campur;6;60000;360000
2020-01-27;120R0453;Lavarisol Triple Cheese;2;60000;120000
;120R0453;Brownies Cookies;4;40000;160000
;120R0453;Dimsum Siomay Crab;3;27000;81000
;120R0453;Lavarisol Campur;3;60000;180000
2020-01-27;120R0454;Lavarisol Campur;4;60000;240000
;120R0454;Brownies Cookies;5;40000;200000
;120R0454;Lavarisol Smoked Beef;1;60000;60000
;120R0454;Dimsum Siomay Crab;5;27000;135000
;120R0454;Pudding Batik;1;120000;120000
2020-01-27;120R0455;Dimsum Siomay Udang Keju;2;32000;64000
;120R0455;Pudding Buah;5;100000;500000
;120R0455;Dimsum Siomay Keju;4;30000;120000
;120R0455;Cookies Hias;4;60000;240000
;120R0455;Sagu Keju;4;75000;300000
2020-01-27;120R0456;Kaastengels;3;85000;255000
;120R0456;Pudding Batik;7;120000;840000
2020-01-27;120R0457;Pudding Batik;2;120000;240000
;120R0457;Dimsum Siomay Ayam;5;27000;135000
;120R0457;Lavarisol Original;1;60000;60000
2020-01-27;120R0458;Pudding Batik;6;120000;720000
;120R0458;Dimsum Siomay Keju;4;30000;120000
;120R0458;Lavarisol Original;3;60000;180000
;120R0458;Cookies Hias;3;60000;180000
2020-01-27;120R0459;Dimsum Siomay Keju;4;30000;120000
;120R0459;Putri Salju;3;85000;255000
;120R0459;Red Velvet;6;90000;540000
2020-01-27;120R0460;Brownies Cookies;4;40000;160000
;120R0460;Dimsum Siomay Ayam;6;27000;162000
;120R0460;Lidah Kucing;2;70000;140000
;120R0460;Cookies Hias;6;60000;360000
2020-01-27;120R0461;Cookies Hias;6;60000;360000
;120R0461;Dimsum Siomay Ayam;3;27000;81000
;120R0461;Lavarisol Triple Cheese;7;60000;420000
;120R0461;Dimsum Siomay Original;3;25000;75000
2020-01-27;120R0462;Dimsum Siomay Crab;3;27000;81000
;120R0462;Dimsum Siomay Udang Keju;7;32000;224000
;120R0462;Lavarisol Campur;3;60000;180000
;120R0462;Kaastengels;7;85000;595000
;120R0462;Dimsum Siomay Ayam;2;27000;54000
2020-01-27;120R0463;Dimsum Siomay Ayam;6;27000;162000
;120R0463;Red Velvet;1;90000;90000
;120R0463;Nastar Spesial;6;90000;540000
2020-01-27;120R0464;Blueberry Cheese;4;65000;260000
;120R0464;Kaastengels;3;85000;255000
;120R0464;Red Velvet;5;90000;450000
;120R0464;Lavarisol Triple Cheese;5;60000;300000
2020-01-28;120R0465;Dimsum Siomay Ayam;5;27000;135000
;120R0465;Lavarisol Original;4;60000;240000
;120R0465;Red Velvet;4;90000;360000
2020-01-28;120R0466;Cookies Hias;2;60000;120000
;120R0466;Blueberry Cheese;1;65000;65000
;120R0466;Red Velvet;3;90000;270000
;120R0466;Lidah Kucing;1;70000;70000
2020-01-28;120R0467;Cookies Hias;1;60000;60000
;120R0467;Dimsum Siomay Crab;3;27000;81000
2020-01-28;120R0468;Dimsum Siomay Crab;2;27000;54000
;120R0468;Red Velvet;4;90000;360000
;120R0468;Nastar Spesial;1;90000;90000
;120R0468;Dimsum Siomay Udang Keju;4;32000;128000
2020-01-28;120R0469;Dimsum Siomay Original;4;25000;100000
;120R0469;Dimsum Siomay Ayam;3;27000;81000
;120R0469;Cookies Hias;7;60000;420000
;120R0469;Dimsum Siomay Udang Keju;4;32000;128000
2020-01-28;120R0470;Kaastengels;2;85000;170000
;120R0470;Dimsum Siomay Ayam;6;27000;162000
2020-01-28;120R0471;Dimsum Siomay Ayam;1;27000;27000
;120R0471;Dimsum Siomay Keju;3;30000;90000
;120R0471;Blueberry Cheese;2;65000;130000
;120R0471;Cookies Hias;2;60000;120000
;120R0471;Dimsum Siomay Ayam;6;27000;162000
2020-01-28;120R0472;Pudding Buah;7;100000;700000
;120R0472;Dimsum Siomay Ayam;7;27000;189000
;120R0472;Sagu Keju;1;75000;75000
;120R0472;Lidah Kucing;2;70000;140000
;120R0472;Dimsum Siomay Crab;4;27000;108000
2020-01-28;120R0473;Cookies Hias;6;60000;360000
;120R0473;Lavarisol Original;6;60000;360000
;120R0473;Nastar Spesial;4;90000;360000
;120R0473;Sagu Keju;4;75000;300000
2020-01-28;120R0474;Lavarisol Triple Cheese;2;60000;120000
;120R0474;Pudding Buah;7;100000;700000
;120R0474;Red Velvet;7;90000;630000
2020-01-28;120R0475;Brownies Cookies;2;40000;80000
;120R0475;Pudding Buah;7;100000;700000
;120R0475;Lavarisol Smoked Beef;3;60000;180000
2020-01-28;120R0476;Blueberry Cheese;6;65000;390000
;120R0476;Pudding Buah;4;100000;400000
;120R0476;Lidah Kucing;6;70000;420000
2020-01-28;120R0477;Pudding Buah;4;100000;400000
;120R0477;Sagu Keju;1;75000;75000
;120R0477;Cookies Hias;6;60000;360000
;120R0477;Putri Salju;5;85000;425000
2020-01-28;120R0478;Sagu Keju;5;75000;375000
;120R0478;Kaastengels;5;85000;425000
;120R0478;Pudding Batik;3;120000;360000
2020-01-28;120R0479;Red Velvet;6;90000;540000
;120R0479;Dimsum Siomay Original;7;25000;175000
;120R0479;Dimsum Siomay Keju;5;30000;150000
;120R0479;Lavarisol Smoked Beef;5;60000;300000
2020-01-28;120R0480;Cookies Hias;5;60000;300000
;120R0480;Dimsum Siomay Ayam;5;27000;135000
;120R0480;Pudding Batik;6;120000;720000
;120R0480;Brownies Cookies;1;40000;40000
2020-01-28;120R0481;Cookies Hias;4;60000;240000
;120R0481;Blueberry Cheese;4;65000;260000
;120R0481;Putri Salju;4;85000;340000
2020-01-28;120R0482;Sagu Keju;2;75000;150000
;120R0482;Dimsum Siomay Keju;1;30000;30000
;120R0482;Nastar Spesial;6;90000;540000
2020-01-29;120R0483;Nastar Spesial;6;90000;540000
;120R0483;Dimsum Siomay Keju;2;30000;60000
2020-01-29;120R0484;Nastar Spesial;6;90000;540000
;120R0484;Lavarisol Campur;1;60000;60000
;120R0484;Brownies Cookies;4;40000;160000
2020-01-29;120R0485;Nastar Spesial;1;90000;90000
;120R0485;Lavarisol Original;6;60000;360000
;120R0485;Putri Salju;4;85000;340000
;120R0485;Kaastengels;7;85000;595000
2020-01-29;120R0486;Sagu Keju;5;75000;375000
;120R0486;Dimsum Siomay Ayam;1;27000;27000
;120R0486;Nastar Spesial;2;90000;180000
2020-01-29;120R0487;Brownies Cookies;6;40000;240000
;120R0487;Dimsum Siomay Udang Keju;3;32000;96000
;120R0487;Lavarisol Smoked Beef;5;60000;300000
;120R0487;Lidah Kucing;1;70000;70000
2020-01-29;120R0488;Lidah Kucing;1;70000;70000
;120R0488;Lavarisol Triple Cheese;6;60000;360000
;120R0488;Sagu Keju;7;75000;525000
;120R0488;Kaastengels;4;85000;340000
2020-01-29;120R0489;Putri Salju;5;85000;425000
;120R0489;Lavarisol Original;2;60000;120000
2020-01-29;120R0490;Putri Salju;7;85000;595000
;120R0490;Red Velvet;5;90000;450000
;120R0490;Dimsum Siomay Crab;6;27000;162000
;120R0490;Sagu Keju;4;75000;300000
;120R0490;Dimsum Siomay Udang Keju;7;32000;224000
2020-01-29;120R0491;Dimsum Siomay Udang Keju;7;32000;224000
;120R0491;Pudding Buah;7;100000;700000
;120R0491;Dimsum Siomay Crab;1;27000;27000
;120R0491;Dimsum Siomay Udang Keju;6;32000;192000
2020-01-29;120R0492;Nastar Spesial;2;90000;180000
;120R0492;Pudding Buah;2;100000;200000
;120R0492;Cookies Hias;3;60000;180000
2020-01-29;120R0493;Dimsum Siomay Keju;7;30000;210000
;120R0493;Nastar Spesial;1;90000;90000
;120R0493;Cookies Hias;2;60000;120000
;120R0493;Putri Salju;1;85000;85000
2020-01-29;120R0494;Sagu Keju;2;75000;150000
;120R0494;Brownies Cookies;6;40000;240000
;120R0494;Cookies Hias;5;60000;300000
;120R0494;Dimsum Siomay Keju;4;30000;120000
2020-01-29;120R0495;Sagu Keju;5;75000;375000
;120R0495;Pudding Batik;2;120000;240000
;120R0495;Dimsum Siomay Udang Keju;3;32000;96000
;120R0495;Lavarisol Smoked Beef;6;60000;360000
;120R0495;Pudding Buah;3;100000;300000
2020-01-29;120R0496;Dimsum Siomay Ayam;4;27000;108000
;120R0496;Lavarisol Triple Cheese;1;60000;60000
;120R0496;Dimsum Siomay Udang Keju;6;32000;192000
;120R0496;Cookies Hias;6;60000;360000
2020-01-29;120R0497;Lavarisol Original;5;60000;300000
;120R0497;Cookies Hias;4;60000;240000
;120R0497;Pudding Batik;3;120000;360000
;120R0497;Red Velvet;5;90000;450000
;120R0497;Pudding Buah;1;100000;100000
2020-01-29;120R0498;Pudding Batik;7;120000;840000
;120R0498;Blueberry Cheese;7;65000;455000
;120R0498;Lavarisol Triple Cheese;5;60000;300000
2020-01-30;120R0499;Brownies Cookies;1;40000;40000
;120R0499;Lidah Kucing;5;70000;350000
;120R0499;Lavarisol Triple Cheese;6;60000;360000
;120R0499;Kaastengels;5;85000;425000
2020-01-30;120R0500;Putri Salju;5;85000;425000
;120R0500;Dimsum Siomay Original;5;25000;125000
;120R0500;Lavarisol Triple Cheese;6;60000;360000
;120R0500;Red Velvet;5;90000;450000
2020-01-30;120R0501;Lavarisol Smoked Beef;1;60000;60000
;120R0501;Dimsum Siomay Crab;4;27000;108000
;120R0501;Kaastengels;3;85000;255000
;120R0501;Dimsum Siomay Udang Keju;3;32000;96000
2020-01-30;120R0502;Sagu Keju;2;75000;150000
;120R0502;Dimsum Siomay Crab;7;27000;189000
;120R0502;Dimsum Siomay Keju;4;30000;120000
2020-01-30;120R0503;Sagu Keju;5;75000;375000
;120R0503;Cookies Hias;3;60000;180000
;120R0503;Dimsum Siomay Ayam;2;27000;54000
;120R0503;Kaastengels;4;85000;340000
2020-01-30;120R0504;Cookies Hias;7;60000;420000
;120R0504;Dimsum Siomay Original;3;25000;75000
;120R0504;Dimsum Siomay Crab;2;27000;54000
;120R0504;Lavarisol Smoked Beef;2;60000;120000
2020-01-30;120R0505;Lavarisol Original;3;60000;180000
;120R0505;Kaastengels;6;85000;510000
;120R0505;Lidah Kucing;2;70000;140000
;120R0505;Pudding Batik;5;120000;600000
2020-01-30;120R0506;Cookies Hias;3;60000;180000
;120R0506;Lavarisol Original;5;60000;300000
;120R0506;Lavarisol Triple Cheese;6;60000;360000
;120R0506;Lavarisol Smoked Beef;6;60000;360000
2020-01-30;120R0507;Lidah Kucing;2;70000;140000
;120R0507;Putri Salju;2;85000;170000
;120R0507;Dimsum Siomay Crab;3;27000;81000
;120R0507;Lavarisol Original;3;60000;180000
2020-01-30;120R0508;Nastar Spesial;2;90000;180000
;120R0508;Dimsum Siomay Keju;1;30000;30000
;120R0508;Lidah Kucing;2;70000;140000
;120R0508;Dimsum Siomay Udang Keju;2;32000;64000
2020-01-30;120R0509;Dimsum Siomay Udang Keju;7;32000;224000
;120R0509;Nastar Spesial;3;90000;270000
;120R0509;Brownies Cookies;1;40000;40000
;120R0509;Lavarisol Campur;1;60000;60000
2020-01-30;120R0510;Lavarisol Original;4;60000;240000
;120R0510;Pudding Buah;5;100000;500000
;120R0510;Putri Salju;3;85000;255000
2020-01-30;120R0511;Dimsum Siomay Udang Keju;7;32000;224000
;120R0511;Lavarisol Original;3;60000;180000
;120R0511;Cookies Hias;7;60000;420000
;120R0511;Lavarisol Campur;3;60000;180000
2020-01-30;120R0512;Putri Salju;1;85000;85000
;120R0512;Nastar Spesial;1;90000;90000
;120R0512;Pudding Buah;6;100000;600000
2020-01-30;120R0513;Dimsum Siomay Original;6;25000;150000
;120R0513;Lavarisol Triple Cheese;6;60000;360000
;120R0513;Dimsum Siomay Keju;5;30000;150000
2020-01-30;120R0514;Pudding Batik;4;120000;480000
;120R0514;Dimsum Siomay Ayam;3;27000;81000
;120R0514;Dimsum Siomay Keju;3;30000;90000
2020-01-30;120R0515;Lavarisol Smoked Beef;3;60000;180000
;120R0515;Kaastengels;6;85000;510000
;120R0515;Lavarisol Campur;1;60000;60000
;120R0515;Blueberry Cheese;7;65000;455000
2020-01-31;120R0516;Putri Salju;5;85000;425000
;120R0516;Lavarisol Triple Cheese;4;60000;240000
;120R0516;Dimsum Siomay Crab;1;27000;27000
;120R0516;Brownies Cookies;2;40000;80000
2020-01-31;120R0517;Dimsum Siomay Ayam;6;27000;162000
;120R0517;Lavarisol Campur;7;60000;420000
;120R0517;Dimsum Siomay Keju;5;30000;150000
2020-01-31;120R0518;Cookies Hias;4;60000;240000
;120R0518;Dimsum Siomay Keju;3;30000;90000
;120R0518;Lidah Kucing;5;70000;350000
;120R0518;Brownies Cookies;7;40000;280000
;120R0518;Lavarisol Smoked Beef;7;60000;420000
2020-01-31;120R0519;Lavarisol Smoked Beef;2;60000;120000
;120R0519;Lavarisol Original;7;60000;420000
;120R0519;Nastar Spesial;2;90000;180000
2020-01-31;120R0520;Putri Salju;7;85000;595000
;120R0520;Lavarisol Smoked Beef;6;60000;360000
2020-01-31;120R0521;Putri Salju;3;85000;255000
;120R0521;Dimsum Siomay Udang Keju;6;32000;192000
;120R0521;Lavarisol Original;4;60000;240000
;120R0521;Dimsum Siomay Original;6;25000;150000
;120R0521;Dimsum Siomay Keju;2;30000;60000
2020-01-31;120R0522;Pudding Batik;1;120000;120000
;120R0522;Blueberry Cheese;1;65000;65000
;120R0522;Cookies Hias;1;60000;60000
2020-01-31;120R0523;Cookies Hias;3;60000;180000
;120R0523;Kaastengels;1;85000;85000
;120R0523;Dimsum Siomay Udang Keju;4;32000;128000
;120R0523;Pudding Batik;6;120000;720000
2020-01-31;120R0524;Kaastengels;3;85000;255000
;120R0524;Lavarisol Triple Cheese;4;60000;240000
;120R0524;Sagu Keju;2;75000;150000
;120R0524;Dimsum Siomay Udang Keju;2;32000;64000
2020-01-31;120R0525;Lavarisol Triple Cheese;3;60000;180000
;120R0525;Lavarisol Campur;7;60000;420000
;120R0525;Dimsum Siomay Keju;3;30000;90000
;120R0525;Sagu Keju;5;75000;375000
2020-01-31;120R0526;Lavarisol Campur;4;60000;240000
;120R0526;Dimsum Siomay Ayam;3;27000;81000
;120R0526;Nastar Spesial;3;90000;270000
;120R0526;Pudding Buah;4;100000;400000
2020-01-31;120R0527;Putri Salju;2;85000;170000
;120R0527;Sagu Keju;6;75000;450000
;120R0527;Pudding Batik;4;120000;480000
2020-01-31;120R0528;Lavarisol Triple Cheese;2;60000;120000
;120R0528;Dimsum Siomay Keju;1;30000;30000
2020-01-31;120R0529;Dimsum Siomay Keju;2;30000;60000
2020-01-31;120R0530;Dimsum Siomay Original;3;25000;75000
;120R0530;Pudding Buah;5;100000;500000
;120R0530;Blueberry Cheese;3;65000;195000
;120R0530;Lavarisol Triple Cheese;4;60000;240000
2020-01-31;120R0531;Sagu Keju;1;75000;75000
;120R0531;Kaastengels;2;85000;170000
;120R0531;Pudding Buah;4;100000;400000
;120R0531;Dimsum Siomay Keju;1;30000;30000
2020-01-31;120R0532;Kaastengels;4;85000;340000
;120R0532;Lavarisol Smoked Beef;3;60000;180000
;120R0532;Putri Salju;2;85000;170000
2020-01-31;120R0533;Dimsum Siomay Keju;4;30000;120000
;120R0533;Lavarisol Original;7;60000;420000
;120R0533;Kaastengels;2;85000;170000
2020-01-31;120R0534;Lavarisol Original;1;60000;60000
;120R0534;Putri Salju;5;85000;425000
;120R0534;Dimsum Siomay Udang Keju;7;32000;224000
;120R0534;Lidah Kucing;1;70000;70000
2020-01-31;120R0535;Kaastengels;4;85000;340000
;120R0535;Lavarisol Triple Cheese;6;60000;360000
;120R0535;Lavarisol Smoked Beef;1;60000;60000
2020-02-01;220R0001;Dimsum Siomay Original;1;25000;25000
;220R0001;Dimsum Siomay Udang Keju;3;32000;96000
;220R0001;Dimsum Siomay Keju;1;30000;30000
;220R0001;Nastar Spesial;2;90000;180000
2020-02-01;220R0002;Cookies Hias;2;60000;120000
;220R0002;Dimsum Siomay Ayam;4;27000;108000
;220R0002;Lavarisol Campur;2;60000;120000
;220R0002;Pudding Batik;1;120000;120000
2020-02-01;220R0003;Pudding Buah;1;100000;100000
;220R0003;Dimsum Siomay Ayam;1;27000;27000
;220R0003;Lidah Kucing;2;70000;140000
2020-02-01;220R0004;Pudding Buah;1;100000;100000
;220R0004;Lidah Kucing;6;70000;420000
;220R0004;Lavarisol Campur;3;60000;180000
2020-02-01;220R0005;Dimsum Siomay Keju;1;30000;30000
;220R0005;Sagu Keju;2;75000;150000
;220R0005;Putri Salju;3;85000;255000
;220R0005;Dimsum Siomay Original;1;25000;25000
2020-02-01;220R0006;Kaastengels;6;85000;510000
;220R0006;Cookies Hias;6;60000;360000
2020-02-01;220R0007;Dimsum Siomay Keju;5;30000;150000
;220R0007;Blueberry Cheese;1;65000;65000
;220R0007;Cookies Hias;2;60000;120000
;220R0007;Dimsum Siomay Ayam;2;27000;54000
2020-02-01;220R0008;Dimsum Siomay Keju;1;30000;30000
;220R0008;Lavarisol Campur;6;60000;360000
;220R0008;Pudding Batik;5;120000;600000
2020-02-01;220R0009;Dimsum Siomay Crab;4;27000;108000
;220R0009;Dimsum Siomay Original;6;25000;150000
;220R0009;Nastar Spesial;7;90000;630000
2020-02-01;220R0010;Dimsum Siomay Keju;4;30000;120000
;220R0010;Lavarisol Campur;6;60000;360000
;220R0010;Nastar Spesial;7;90000;630000
2020-02-01;220R0011;Dimsum Siomay Ayam;3;27000;81000
;220R0011;Dimsum Siomay Original;2;25000;50000
;220R0011;Dimsum Siomay Udang Keju;2;32000;64000
;220R0011;Pudding Buah;7;100000;700000
;220R0011;Pudding Batik;1;120000;120000
2020-02-01;220R0012;Lavarisol Campur;5;60000;300000
;220R0012;Brownies Cookies;4;40000;160000
;220R0012;Dimsum Siomay Udang Keju;3;32000;96000
;220R0012;Dimsum Siomay Keju;1;30000;30000
2020-02-01;220R0013;Dimsum Siomay Ayam;2;27000;54000
;220R0013;Sagu Keju;7;75000;525000
;220R0013;Dimsum Siomay Crab;3;27000;81000
2020-02-01;220R0014;Blueberry Cheese;1;65000;65000
;220R0014;Dimsum Siomay Crab;3;27000;81000
;220R0014;Pudding Buah;6;100000;600000
;220R0014;Kaastengels;3;85000;255000
2020-02-01;220R0015;Sagu Keju;5;75000;375000
;220R0015;Dimsum Siomay Crab;5;27000;135000
;220R0015;Lavarisol Triple Cheese;1;60000;60000
2020-02-01;220R0016;Lavarisol Original;2;60000;120000
;220R0016;Dimsum Siomay Keju;5;30000;150000
;220R0016;Lidah Kucing;6;70000;420000
2020-02-01;220R0017;Lavarisol Original;2;60000;120000
;220R0017;Sagu Keju;1;75000;75000
;220R0017;Brownies Cookies;1;40000;40000
2020-02-01;220R0018;Dimsum Siomay Udang Keju;6;32000;192000
;220R0018;Blueberry Cheese;7;65000;455000
;220R0018;Lavarisol Campur;7;60000;420000
;220R0018;Brownies Cookies;7;40000;280000
2020-02-02;220R0019;Pudding Buah;4;100000;400000
;220R0019;Dimsum Siomay Ayam;1;27000;27000
;220R0019;Lavarisol Original;7;60000;420000
2020-02-02;220R0020;Kaastengels;7;85000;595000
;220R0020;Dimsum Siomay Ayam;7;27000;189000
;220R0020;Putri Salju;2;85000;170000
;220R0020;Dimsum Siomay Crab;7;27000;189000
2020-02-02;220R0021;Lavarisol Original;5;60000;300000
;220R0021;Cookies Hias;4;60000;240000
;220R0021;Dimsum Siomay Udang Keju;2;32000;64000
2020-02-02;220R0022;Cookies Hias;7;60000;420000
;220R0022;Blueberry Cheese;6;65000;390000
;220R0022;Putri Salju;3;85000;255000
2020-02-02;220R0023;Dimsum Siomay Original;3;25000;75000
;220R0023;Pudding Buah;1;100000;100000
;220R0023;Putri Salju;3;85000;255000
;220R0023;Cookies Hias;1;60000;60000
;220R0023;Red Velvet;5;90000;450000
2020-02-02;220R0024;Sagu Keju;3;75000;225000
;220R0024;Kaastengels;1;85000;85000
;220R0024;Lavarisol Campur;5;60000;300000
2020-02-02;220R0025;Nastar Spesial;4;90000;360000
;220R0025;Lavarisol Triple Cheese;4;60000;240000
;220R0025;Putri Salju;2;85000;170000
2020-02-02;220R0026;Red Velvet;6;90000;540000
;220R0026;Lavarisol Smoked Beef;5;60000;300000
;220R0026;Lidah Kucing;1;70000;70000
;220R0026;Dimsum Siomay Keju;2;30000;60000
;220R0026;Pudding Batik;4;120000;480000
2020-02-02;220R0027;Pudding Buah;2;100000;200000
;220R0027;Dimsum Siomay Keju;5;30000;150000
2020-02-02;220R0028;Putri Salju;6;85000;510000
;220R0028;Brownies Cookies;2;40000;80000
;220R0028;Pudding Buah;4;100000;400000
;220R0028;Dimsum Siomay Keju;2;30000;60000
;220R0028;Lavarisol Triple Cheese;3;60000;180000
2020-02-02;220R0029;Pudding Batik;1;120000;120000
;220R0029;Nastar Spesial;7;90000;630000
;220R0029;Dimsum Siomay Udang Keju;1;32000;32000
2020-02-02;220R0030;Lavarisol Triple Cheese;4;60000;240000
;220R0030;Putri Salju;1;85000;85000
2020-02-02;220R0031;Dimsum Siomay Crab;2;27000;54000
2020-02-02;220R0032;Pudding Batik;2;120000;240000
;220R0032;Dimsum Siomay Original;4;25000;100000
;220R0032;Lavarisol Campur;5;60000;300000
2020-02-02;220R0033;Dimsum Siomay Keju;7;30000;210000
;220R0033;Lavarisol Triple Cheese;3;60000;180000
;220R0033;Kaastengels;1;85000;85000
2020-02-02;220R0034;Lavarisol Triple Cheese;5;60000;300000
;220R0034;Lavarisol Campur;4;60000;240000
2020-02-02;220R0035;Dimsum Siomay Ayam;6;27000;162000
;220R0035;Cookies Hias;2;60000;120000
;220R0035;Red Velvet;2;90000;180000
;220R0035;Nastar Spesial;2;90000;180000
2020-02-02;220R0036;Dimsum Siomay Original;1;25000;25000
;220R0036;Pudding Buah;3;100000;300000
;220R0036;Dimsum Siomay Udang Keju;4;32000;128000
2020-02-03;220R0037;Dimsum Siomay Crab;6;27000;162000
